full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,target,source
cim mungkin untuk nambah portofolio lu boleh coba handle konser day6 di korea @mecimapro,1.91873664521145E+018,2025-05-03 18:37:19+00:00,@dari_youngk,1.2495471330043E+018,in,,0,0,0,7,https://x.com/dari_youngk/status/1918736645211459591,['mecimapro'],1,mecimapro,@dari_youngk
gila day6 konsernya baru mulai hampir jam 9 . stress lu @mecimapro,1.91874041891461E+018,2025-05-03 18:52:18+00:00,@aintgojo,1.0148198416628E+018,in,,0,1,0,0,https://x.com/aintgojo/status/1918740418914627875,['mecimapro'],1,mecimapro,@aintgojo
Tetiba sedih lagi kalo mikir kenapa ini semua harus terjadi disaat aku lagi sayang2nya sama day6 Hope u rot in hell @mecimapro,1.91874291507488E+018,2025-05-03 19:02:14+00:00,@milkeuteee,1.16515730371826E+018,in,,0,1,0,1,https://x.com/milkeuteee/status/1918742915074896118,['mecimapro'],1,mecimapro,@milkeuteee
setelah melihat huru hara konser day6 kemarin gw harap lu pada @ENHYPEN_members jangan mau di bawain promotor @mecimapro ini ya jir. pls bgt ya pen,1.91880820418165E+018,2025-05-03 23:21:40+00:00,@DE4RHEESEUNG,1.25843133173991E+018,in,,0,1,0,9,https://x.com/DE4RHEESEUNG/status/1918808204181660059,"['ENHYPEN_members', 'mecimapro']",2,ENHYPEN_members,@DE4RHEESEUNG
Tolong banget. Jangan bawa Day6 lagi @mecimapro Biarkan Day6 dibawa oleh promotor lain yang lebih mampu memegang kepercayaan customer.,1.91883000270486E+018,2025-05-04 00:48:17+00:00,@larutanmicin,333881153,in,,0,1,0,0,https://x.com/larutanmicin/status/1918830002704875937,['mecimapro'],1,mecimapro,@larutanmicin
mlm nangisin day6 pagi nangisin day6 cape elah smua gara2 mecima sialan jgn lupa bayar refund @mecimapro !!!,1.91883745089965E+018,2025-05-04 01:17:53+00:00,@tobelidaifuku,113837160,in,,0,0,0,0,https://x.com/tobelidaifuku/status/1918837450899657130,['mecimapro'],1,mecimapro,@tobelidaifuku
sampe sekarang foto blm di up sama akun day6 padahal biasanya after concert lngsung di up knpa kak? gaboleh sama @mecimapro soalnya kepalang malu haha,1.9188374733855E+018,2025-05-04 01:17:58+00:00,@ydwovrdss,1.49674025653142E+018,in,,1,0,0,8,https://x.com/ydwovrdss/status/1918837473385517092,['mecimapro'],1,mecimapro,@ydwovrdss
Bukan myday tp suka denger bbrp lagu day6 dan jd ngikutin huru hara konser krn sialnya yg bawa mecimapro yg mana itu promotor gila yg ga pernah kasih kepuasan ke konsumen ngeliat hari ini se brutal itu ikutan sedih bgt. Gw sebagai org yg pernah terdzolimi mecima mau bilang,1.91884283714938E+018,2025-05-04 01:39:17+00:00,@vernunline,1649449867,in,,0,1,0,0,https://x.com/vernunline/status/1918842837149384880,[],0,,@vernunline
Mecima @mecimapro lu harusnya yang minta maaf bukan day6 lu juga hrsnya yg ngaku ke mrk kalau kerjaan lu yg gak bener sehingga bikin fans marah Jgn lupa sambil refund konser dah berakhir tapi duit orang2 belum lu balikin gak malu? #MECIMA_NOT_PROfessional #KawalRefundMecima,1.91884972655819E+018,2025-05-04 02:06:39+00:00,@ssinta18,2538626094,in,,0,0,0,0,https://x.com/ssinta18/status/1918849726558192091,['mecimapro'],1,mecimapro,@ssinta18
Bahkan youngk sampe bow 2x Harusnya lu melani yg begini sambil minta maaf! @mecimapro #DAY6_3RD_WORLDTOUR_Jakarta https://t.co/Wa5b256qVL,1.91885314665215E+018,2025-05-04 02:20:15+00:00,@Mell_Maysilia,608900184,in,,9,0,171,631,https://x.com/Mell_Maysilia/status/1918853146652152199,['mecimapro'],1,mecimapro,@Mell_Maysilia
memang yg paling bangsat di sini itu lo pada @mecimapro bahkan sampe detik ini NGGAK ADA SATUPUN UCAPAN MINTA MAAF DARI KALIAN?! udah puas sekarang belum? kalian udah bisa memecah belah My Day dan DAY6 di titik ini lohh ,1.91885385585013E+018,2025-05-04 02:23:04+00:00,@dosmamon,68098654,in,,0,0,3,1,https://x.com/dosmamon/status/1918853855850147935,['mecimapro'],1,mecimapro,@dosmamon
Selamat ulang tahun ya onty melani udah kan dirayain day6 ultahnya? Seneng donk? Smoga Tuhan melembutkan hati mu agar mau minta maaf sam semua yg dirugikan semoga Tuhan memudahkan jalanmu untuk merefund duit myday dan bayar vendor semoga jidat lo gak makin mundur @mecimapro,1.91885701025644E+018,2025-05-04 02:35:36+00:00,@heidy_alkaff,79126299,in,,0,0,0,0,https://x.com/heidy_alkaff/status/1918857010256445524,['mecimapro'],1,mecimapro,@heidy_alkaff
Timeline gue isinya ke chaos-an konser Day6 semalem Sebagai salah satu k-pop fan yang suka nonton konser idol juga gue ngerasa @mecimapro emang bobrok banget. Nggak pernah mau berbenah dan dengerin apa kata konsumen ,1.91885956910466E+018,2025-05-04 02:45:46+00:00,@bunnykasep16,1.6033212730518E+018,in,,0,0,0,1,https://x.com/bunnykasep16/status/1918859569104671091,['mecimapro'],1,mecimapro,@bunnykasep16
Jadi confetti konser taeyeon bisa dipakai di konser day6 staff lu @mecimapro yg pungutin confettinya pas konser taeyeon atau lu minta sisa confetti ke @DyandraGlobal mel?,1.91886128080426E+018,2025-05-04 02:52:34+00:00,@gyuzeezi,484472650,in,,0,0,0,0,https://x.com/gyuzeezi/status/1918861280804262283,"['mecimapro', 'DyandraGlobal']",2,mecimapro,@gyuzeezi
Pagi ini gue ga ngerasain PCD dari konser semalam. Cuma ada rasa sedih dan kecewa yang masih still lingering Congratulations for ruining our memories that should ve been a good memories for My Day and DAY6 @mecimapro,1.91886390365357E+018,2025-05-04 03:03:00+00:00,@capric0rnboys,1.12727112105985E+018,in,,0,1,7,10,https://x.com/capric0rnboys/status/1918863903653572846,['mecimapro'],1,mecimapro,@capric0rnboys
Ekh cim jangan lupa di bayar ya DAY6 nya jangan di cicil @mecimapro,1.91889171403241E+018,2025-05-04 04:53:30+00:00,@caskhlh,1380768996,in,,0,0,0,0,https://x.com/caskhlh/status/1918891714032410662,['mecimapro'],1,mecimapro,@caskhlh
Fix day6 sama sekali ga upload foto after concert semalem. Shame on you @mecimapro and MELANI DKK.,1.91890607816465E+018,2025-05-04 05:50:35+00:00,@MarshmallowJTY,1.35899263231206E+018,in,,0,0,0,1,https://x.com/MarshmallowJTY/status/1918906078164660483,['mecimapro'],1,mecimapro,@MarshmallowJTY
Halo gue ga peduli lo masih down abis diomelin Korean staffs atau abis dikeplak yang jelas besok Senin lo bawa daftar refund dan duit lo itu ke Bank LANJUTKAN REFUND. Day 16 @mecimapro still hold our refund money and seems like had no intention to give it back @day6official,1.91893891704E+018,2025-05-04 08:01:04+00:00,@CheekbonesDayum,2921571877,in,,15,1,888,1317,https://x.com/CheekbonesDayum/status/1918938917040009627,"['mecimapro', 'day6official']",2,mecimapro,@CheekbonesDayum
